Date, City, Temperature, Pressure, Windspeed, WindDirection
01/01/2018, Guandu, 43, 1034, 17, 177
01/01/2018, Barbacena, 4, 908, 20, 320
01/01/2018, Stockholm, 14, 988, 18, 262
01/01/2018, Aldeia, 43, 1030, 24, 113
01/01/2018, Bachowice, 5, 926, 30, 226
01/01/2018, Marija Bistrica, 9, 1039, 10, 49
01/01/2018, Lille, -3, 1029, 12, 330
01/01/2018, Hufang, 44, 987, 19, 41
01/01/2018, Gaotang, 34, 1037, 13, 241
01/01/2018, Bechlín, 5, 1022, 11, 129
01/01/2018, Tuapukan, 12, 998, 16, 223
01/01/2018, Rybache, 28, 924, 31, 355
01/01/2018, Soutelo, 33, 1018, 17, 110
01/01/2018, Ciudad Nueva, 11, 933, 30, 125
01/01/2018, London, 42, 902, 22, 211
01/01/2018, Rognedino, 40, 931, 14, 214
01/01/2018, Chinchero, 13, 985, 31, 97
01/01/2018, Smarhon’, 26, 921, 25, 54
01/01/2018, Novoaltaysk, 28, 930, 1, 162
01/01/2018, Longtang, -4, 983, 27, 173
01/01/2018, Liliongan, 12, 990, 12, 117
01/01/2018, Belusovka, -2, 1005, 27, 199
01/01/2018, Banepa, 27, 910, 4, 246
01/01/2018, Merke, 13, 980, 10, 183
01/01/2018, Jeziorany, 10, 981, 26, 303
01/01/2018, Kindersley, 8, 935, 16, 334
01/01/2018, Corralillo, 38, 1031, 14, 174
01/01/2018, Perovo, 35, 925, 17, 180
01/01/2018, Cigaleuh Kulon, 13, 999, 12, 225
01/01/2018, Padaimut, 9, 923, 9, 99
01/01/2018, Atsugi, 34, 927, 13, 5
01/01/2018, Podgornoye, 0, 978, 27, 240
01/01/2018, Toledo, 8, 904, 5, 47
01/01/2018, San Pedro, 15, 976, 12, 21
01/01/2018, Príbram, 39, 1011, 9, 178
01/01/2018, Datong, 18, 961, 30, 107
01/01/2018, Orlová, 25, 942, 17, 47
01/01/2018, Savannakhét, 5, 996, 22, 274
01/01/2018, Huangsha, 4, 913, 19, 240
01/01/2018, Wongsorejo, 35, 917, 1, 112
01/01/2018, Krížová, -3, 951, 31, 169
01/01/2018, Belyy Yar, 44, 953, 4, 310
01/01/2018, Reading, 7, 932, 7, 65
01/01/2018, Niquelândia, 26, 1015, 25, 7
01/01/2018, Semirara, 27, 949, 18, 340
01/01/2018, Zhangjiahe, -2, 933, 9, 49
01/01/2018, Dashiqiao, 26, 1035, 1, 72
01/01/2018, Bezhta, 9, 1035, 5, 338
01/01/2018, Mogok, -2, 962, 4, 331
01/01/2018, Shagedu, 16, 986, 23, 202
01/01/2018, Guanjiabao, 16, 906, 28, 69
01/01/2018, Timaru, 31, 911, 29, 97
01/01/2018, Portsmouth, 3, 949, 17, 327
01/01/2018, Créteil, 43, 918, 2, 109
01/01/2018, Jirja, 10, 1003, 12, 170
01/01/2018, Ulimonong, 34, 1002, 27, 333
01/01/2018, Valdivia, -4, 912, 8, 152
01/01/2018, Tangub, 19, 1025, 24, 2
01/01/2018, Jiulian, 11, 969, 5, 344
01/01/2018, Glad, 44, 995, 3, 178
01/01/2018, Dukou, -4, 903, 9, 272
01/01/2018, Haduohe, 15, 985, 7, 133
01/01/2018, Samsan, 8, 984, 21, 157
01/01/2018, Las Piñas, -1, 957, 15, 10
01/01/2018, Yoshii, 41, 950, 26, 251
01/01/2018, Harper, 7, 973, 15, 315
01/01/2018, Qingsong, 16, 916, 14, 113
01/01/2018, Kuloy, 31, 906, 10, 32
01/01/2018, Casigua El Cubo, 39, 1001, 28, 83
01/01/2018, Boston, 17, 1029, 25, 338
01/01/2018, Croix, 1, 926, 0, 3
01/01/2018, Lolodorf, 42, 1033, 13, 253
02/01/2018, Guandu, 34, 994, 15, 160
02/01/2018, Barbacena, 31, 983, 2, 103
02/01/2018, Stockholm, 38, 998, 6, 259
02/01/2018, Aldeia, 13, 1013, 11, 191
02/01/2018, Bachowice, 13, 940, 26, 303
02/01/2018, Marija Bistrica, 19, 1012, 7, 253
02/01/2018, Lille, 40, 949, 8, 146
02/01/2018, Hufang, 11, 1031, 17, 74
02/01/2018, Gaotang, 29, 1007, 7, 273
02/01/2018, Bechlín, 23, 929, 4, 142
02/01/2018, Tuapukan, 12, 1022, 0, 217
02/01/2018, Rybache, 24, 977, 17, 131
02/01/2018, Soutelo, 29, 1012, 0, 194
02/01/2018, Ciudad Nueva, 1, 909, 26, 101
02/01/2018, London, 4, 933, 17, 328
02/01/2018, Rognedino, -4, 954, 24, 302
02/01/2018, Chinchero, 10, 934, 19, 357
02/01/2018, Smarhon’, 39, 1005, 16, 197
02/01/2018, Novoaltaysk, 7, 987, 26, 338
02/01/2018, Longtang, 25, 951, 2, 12
02/01/2018, Liliongan, 19, 939, 11, 213
02/01/2018, Belusovka, 35, 927, 15, 328
02/01/2018, Banepa, 7, 972, 21, 137
02/01/2018, Merke, 8, 929, 24, 335
02/01/2018, Jeziorany, 2, 1032, 6, 197
02/01/2018, Kindersley, 38, 973, 17, 253
02/01/2018, Corralillo, 18, 931, 15, 332
02/01/2018, Perovo, 33, 1037, 15, 149
02/01/2018, Cigaleuh Kulon, 38, 946, 31, 161
02/01/2018, Padaimut, 9, 996, 26, 203
02/01/2018, Atsugi, 44, 1024, 5, 216
02/01/2018, Podgornoye, 23, 918, 4, 257
02/01/2018, Toledo, 17, 1020, 30, 208
02/01/2018, San Pedro, 19, 1000, 23, 114
02/01/2018, Príbram, 37, 933, 17, 171
02/01/2018, Datong, 2, 999, 12, 325
02/01/2018, Orlová, 35, 1027, 3, 54
02/01/2018, Savannakhét, 1, 1018, 15, 62
02/01/2018, Huangsha, 0, 906, 19, 217
02/01/2018, Wongsorejo, 23, 1009, 2, 161
02/01/2018, Krížová, 12, 924, 8, 237
02/01/2018, Belyy Yar, 5, 913, 12, 313
02/01/2018, Reading, 31, 959, 22, 13
02/01/2018, Niquelândia, -2, 943, 22, 204
02/01/2018, Semirara, 14, 983, 25, 334
02/01/2018, Zhangjiahe, 32, 922, 30, 270
02/01/2018, Dashiqiao, 3, 1019, 8, 206
02/01/2018, Bezhta, -3, 977, 13, 30
02/01/2018, Mogok, 16, 1036, 27, 181
02/01/2018, Shagedu, 4, 948, 10, 120
02/01/2018, Guanjiabao, 0, 905, 11, 10
